Paper_ID,Document Title,Authors,Publication Year,PDF Link,Publisher,Screening Status,Reason,
PID-001,A case study of Augmented Reality simulation system application in a chemistry course,"Cai, Su; Wang, Xu; Chiang, Feng-Kuang; ",2014,,Elsevier,Excluded - Phase 1,Published before 2020,
PID-002,A Combinatorial Approach to Explaining Image Classifiers,J. Chandrasekaran; Y. Lei; R. Kacker; D. Richard Kuhn,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9440187,IEEE,Ex - Phase 3,Excluded based on title: Irrelevant domain,
PID-003,A Comprehensive Decomposition towards the Facets of Quality in IoT,A. Chakraborty; R. Bagavathi; U. Tomer,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215428,IEEE,Ex - Phase 3,Excluded based on title: Irrelevant domain,
PID-004,A Data Driven Approach to Software Quality Estimation Using Modern Machine Learning Techniques,S. S. Sai Priyanka; B. P. Goud; M. Pandita; K. P. Kumar; P. Sahith; J. Shiva,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167139,IEEE,Ex - Phase 4,"Ex based on abstract: Focuses on legacy machine learning for quality estimation, lacking autonomous agentic frameworks.",
PID-005,A Decade of Progress: A Systematic Literature Review on the Integration of AI in Software Engineering Phases and Activities (2013-2023),U. K. Durrani; M. Akpinar; M. Fatih Adak; A. Talha Kabakus; M. Maruf Ã–ztÃ¼rk; M. Saleh,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740293,IEEE,Ex - Phase 4,Excluded based on abstract: Broad historical survey lacking specific extraction data on contemporary LLM-driven testing mechanisms.,
PID-006,A goal-driven software product line approach for evolving multi-agent systems in the Internet of Things,"Inmaculada Ayala
, Mercedes Amor
, Jose-Miguel Horcas
, Lidia Fuentes",2019,https://www.sciencedirect.com/science/article/pii/S0950705119303521,Science Direct,Excluded - Phase 1,Published before 2020,
PID-007,A Method and Experiment to evaluate Deep Neural Networks as Test Oracles for Scientific Software,V. A. de Santiago JÃºnior,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796455,IEEE,Ex - Phase 4,Excluded based on abstract: Focuses on testing the DNNs themselves rather than utilizing AI agents to test software architectures.,
PID-008,Leveraging Conversational AI for Accelerating User-Driven Software Testing,"Aminata Sabané, Laura Plein & Tegawendé F. Bissyandé",2025,https://link.springer.com/chapter/10.1007/978-3-031-81573-7_6?_gl=1*7bsm14*_up*MQ..*_gs*MQ..,Springer,Ex - Phase 5,"Excluded based on access: Full-text manuscript is inaccessible via institutional repository, open-access databases, or preprint servers.",
PID-009,A methodology towards the adaptization of legacy systems using agent-oriented software engineering,"Francois Wavresky, Seok-Won Lee",2016,https://dl.acm.org/doi/10.1145/2851613.2851776,ACM,Excluded - Phase 1,Published before 2020,
PID-010,A multi-agent dynamic system for robust multi-face tracking,"Lada Maleš a
, 
Darijan Mar?eti? b
, Slobodan Ribari? ",2019,https://www.sciencedirect.com/science/article/pii/S0957417419301071,Science Direct,Excluded - Phase 1,Published before 2020,
PID-011,A Multi-Agent LLM Environment for Software Design and Refactoring: A Conceptual Framework,Vasanth Rajendran; Dinesh Besiahgari; Sachin C. Patil; Manjunath Chandrashekaraiah; Vishnu Challagulla,2025,https://ieeexplore.ieee.org/abstract/document/10971563,IEEE,Included - Final Corpus,Selected: discuss all RQs,
PID-012,A multi-agent model for planning hybrid software processes,"W?odzimierz Wysocki a
, 
Cezary Or?owski b",2019,A multi-agent model for planning hybrid software processes - ScienceDirect,Science Direct,Excluded - Phase 1,Published before 2020,
PID-013,A multi-agent system for sharing distributed manufacturing resources,"Kai Li a b
, 
Tao Zhou a
, 
Bo-hai Liu a
, 
Hui Li a",2018,A multi-agent system for sharing distributed manufacturing resources - ScienceDirect,Science Direct,Excluded - Phase 1,Published before 2020,
PID-014,A new real-time multi-agent system for under frequency load shedding in a smart grid context,"Athila Quaresma Santos a, Renato Machado Monaro b, Denis Vinicius Coury c, Mario Oleskovicz c",2019,A new real-time multi-agent system for under frequency load shedding in a smart grid context - ScienceDirect,Science Direct,Excluded - Phase 1,Published before 2020,
PID-015,A Software Framework for Remote Patient Monitoring by Using Multi-Agent Systems Support,"Chrystinne Oliveira Fernandes MSc 1, Carlos José Pereira De Lucena PhD 1",2017,A Software Framework for Remote Patient Monitoring by Using Multi-Agent Systems Support - ScienceDirect,Science Direct,Excluded - Phase 1,Published before 2020,
PID-016,Facilitating Trustworthy Human-Agent Collaboration in LLM-based Multi-Agent System oriented Software Engineering,Krishna Ronanki,2025,https://dl.acm.org/doi/10.1145/3696630.3728717,ACM,Ex - Phase 5,"Excluded based on access: Record constitutes a short paper, poster, or extended abstract lacking a full-length methodology for extraction.",
PID-017,A Systematic Review of Software Testing Using Evolutionary Techniques,Deepti Bala MishraRajashree MishraKedar Nath DasArup Abhinna Acharya,2017,https://link.springer.com/chapter/10.1007/978-981-10-3322-3_16,Springer,Excluded - Phase 1,Published before 2020,
PID-018,A tale of lock-free agents: towards Software Transactional Memory in parallel Agent-Based Simulation,Jonathan ThalerPeer-Olaf Siebers,2019,https://link.springer.com/article/10.1186/s40294-019-0067-9,,Excluded - Phase 1,Published before 2020,
PID-019,Accessible Smart Contracts Verification: Synthesizing Formal Models with Tamed LLMs,J. Corazza; I. Gavran; G. Moreira; D. Neider,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989026,IEEE,Ex - Phase 3,Ex based on title: irrelevant domain,
PID-020,Adaptive event driven framework for real time multi-agent missions,"J. A. Bonache-Seco, J. A. Lopez-Orozco, Eva Besada Portas, José L. Risco Martín",2018,https://dl.acm.org/doi/10.5555/3330299.3330333,ACM,Excluded - Phase 1,Published before 2020,
PID-021,Adaptive ICT-based evaluation system in teaching and learning process,K. Ã‰va; E. Nagy; G. MolnÃ¡r,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10297735,IEEE,Ex - Phase 3,Excluded based on title: Irrelevant domain,
PID-022,Adaptive Multi-Agent AI Framework for Real-Time Energy Optimization and Context-Aware Code Review in Software Development,T Sharanarthi,2025,https://ieeexplore.ieee.org/abstract/document/11066037,IEEE conf,Included - Final Corpus,Selected: discuss all RQs,
PID-023,Large Language Model Supply Chain: Open Problems From the Security Perspective,"Qiang Hu, Xiaofei Xie, Sen Chen, Lili Quan, Lei Ma",2025,https://dl.acm.org/doi/10.1145/3713081.3731747,ACM,Ex - Phase 5,"Excluded based on access: Record constitutes a short paper, lack of methodology",
PID-024,Advances and Challenges in Deep Learning for Automated Welding Defect Detection: A Technical Survey,A. Mohammed; M. Hussain,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11016031,IEEE,Ex - Phase 3,"Excluded based on title: Focuses on hardware, network, or physical infrastructure testing rather than software lifecycle testing.",
PID-025,Agent Based Modelling and Simulation tools: A review of the state-of-art software,"Abar, Sameera; Theodoropoulos, Georgios K; Lemarinier, Pierre; O’Hare, Gregory MP; ",2017,,Elsevier,Excluded - Phase 1,Published before 2020,
PID-026,Agent based regression testing framework,P. K. Arora; R. Bhatia,2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6884951,IEEE,Excluded - Phase 1,Published before 2020,
PID-027,Agent oriented software engineering: a comparative study between methodologies that support the development of multi-agent systems,"Rafhael Cunha, Diana Adamatti, Cléo Billa",2015,https://dl.acm.org/doi/10.1145/2857218.2857226,ACM,Excluded - Phase 1,Published before 2020,
PID-028,Toward Data Systems That Are Business Semantic Centric and AI Agents Assisted,Cecil Pang,2025,https://arxiv.org/abs/2506.05520,arxiv,Ex- Phase  2,Duplicate record across databases,
PID-029,Agent-based Self-regulated Learning Simulation Adopting the Concept of GUSC Model,S. Ismail; S. H. Shaikh Ali; M. H. Abu Bakar,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540556,IEEE,Excluded - Phase 1,Published before 2020,
PID-030,Agentic AI Software Engineers: Programming with Trust,S. Ismail; S. H. Shaikh Ali; M. H. Abu Bakar,2025,https://arxiv.org/abs/2502.13767,,Ex- Phase  2,Duplicate record across databases,
PID-031,Agentic AI Software Engineers: Programming with Trust,"A Roychoudhury, C P?s?reanu, M Pradel",2025,https://dl.acm.org/doi/full/10.1145/3769314,ACM,Included - Final Corpus,Selected: discuss all RQs,
PID-032,AI Adoption for Collaboration: Factors Influencing Inclusive Learning Adoption in Higher Education,I. Youssef Alyoussef; A. Mohammed Drwish; F. Adel Albakheet; R. Hassan Alhajhoj; A. Ahmed Al-Mousa,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10990145,IEEE,Ex - Phase 3,Excluded based on title: Pedagogical or sociological study lacking technical software testing focus.,
PID-033,SEGym: Optimizing Large Language Model Assisted Software Engineering Agents with Reinforcement Learning,"Gerhard Stenzel, Kyrill Schmid, Michael Kölle, Philipp Altmann, Marian Lingsch-Rosenfeld, Maximilian Zorn, Tim Bücher, Thomas Gabor, Martin Wirsing & Lenz Belzner ",2024,https://link.springer.com/chapter/10.1007/978-3-031-75434-0_8?_gl=1*1l12zm8*_up*MQ..*_gs*MQ..&gclid=CjwKCAjw6MPRBhBTEiwAd-7MrwhLYmK6jozAGSNuwcFyRjwIwR2RNc2_Ec2FkuX6UkighuAW5NVzdRoCNwoQAvD_BwE&gbraid=0AAAAADu685Op7PP3xkNgkuexpOwr1vQd-,Springer,Ex - Phase 5,"Excluded based on access: Full-text manuscript is inaccessible via institutional repository, open-access databases, or preprint servers.",
PID-034,AI for Testing Today and Tomorrow: Industry Perspectives,T. M. King; J. Arbon; D. Santiago; D. Adamo; W. Chin; R. Shanmugam,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8718229,IEEE,Excluded - Phase 1,Published before 2020,
PID-035,Automated Test Case Generation for Software Testing Using Generative AI,"Ajay Bandi, Harsha Sai Teja Nukala, Bhavya Tatavarthi & Amulya Boggavarapu ",2025,https://link.springer.com/chapter/10.1007/978-3-031-92178-0_7?,Springer,Ex - Phase 5,Excluded based on access: paid,
PID-036,Embedding Traceability in Large Language Model Code Generation: Towards Trustworthy AI-Augmented Software Engineering,"Fei Wang, XueFeng Xi, ZhiMing Cui, Huan Dai, XinYu Wang",2025,https://dl.acm.org/doi/10.1145/3696630.3730569,ACM,Ex - Phase 5,"Excluded based on access: Record constitutes a short paper, poster, or extended abstract lacking a full-length methodology for extraction.",
PID-037,A Generative AI Based Architecture for Data Seeding in Software Testing,"Itamir de Morais Barroca Filho, Ramon Santos Malaquias, Jean Mário Moreira de Lima, André Morais Gurgel, Ney Pimentel Targino de Oliveira, Murilo Henrique Dantas de Oliveira Bezerra, Gabriel Paes Landim Lucena & Vinicius Oliveira da Silva ",2025,,Springer,Ex - Phase 5,"Excluded based on access: Full-text manuscript is inaccessible via institutional repository, open-access databases",
PID-038,AI in the Software Development Lifecycle: Insights and Open Research Questions,"Everton Guimaraes, Nathalia Nascimento",2025,https://dl.acm.org/doi/10.1145/3696630.3730538,ACM,Ex - Phase 5,"Excluded based on access: Record constitutes a short paper/companion abstract, lacking full methodological depth.",
PID-039,"AI-Based Program Slicing: Techniques, Tools, and Comparative Analysis",M. Abdallah; A. Ngah; A. Al-Rahamneh; D. Staegmann,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11049230,IEEE,Ex- Phase 6,"Excluded based on full text: Lacks specific HITL, trust, or autonomous multi-agent testing mechanisms.",
PID-040,AI-based Question Answering Assistance for Analyzing Natural-language Requirements,S. Ezzini; S. Abualhaija; C. Arora; M. Sabetzadeh,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10172663,IEEE,Ex - Phase 3,Excluded based on title: Irrelevant domain,
PID-041,AI-Driven Multi-Agent System for Real-Time Security Analysis of Software Releases,S Fedorov,2025,https://ieeexplore.ieee.org/abstract/document/11172929,IEEE conf,Included - Final Corpus,Selected: discuss all RQs,
PID-042,AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,B. Batibay; O. Can,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166149,IEEE,Ex - Phase 3,"Excluded based on title: Irrelevant domain (Focuses on physical sciences, healthcare, or non-software engineering fields).",
PID-043,AI-Driven Self-Healing in Test Automation: A Review of Autonomous Quality Assurance,S. Abhichandani; N. R. T. Vadrevu; V. Bagmar,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069937,IEEE,Ex- Phase 6,Excluded based on full text: Lacks specific multi agents,
PID-044,"AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tools, and Challenges",A. Faraji; N. Pombo,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208623,IEEE,Included - Final Corpus,Selected: discuss all RQs,
PID-045,AI-Powered Framework for Enhancing Examination Integrity Through Intelligent Question Paper Scrutinization,N. M. Prabhu; D. Reena; A. S. Kumar; K. Venkatesh; J. Selvarani; P. M. Selsia,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11053100,IEEE,Ex - Phase 3,excluded based on title: irrelevant domain,
PID-046,AI-Powered Motion Analysis in Physical Education: GANs and Bayesian Approaches,D. K. Reddy Basani; R. Lakshmi Gudivaka; S. H. Grandhi; B. Ramanjaneyulu Gudivaka; R. K. Gudivaka; M. M. Kamruzzaman,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071118,IEEE,Ex - Phase 3,Excluded based on title: irreleveant domain,
PID-047,AI-powered software testing tools: A systematic review and empirical assessment of their features and limitations ,"V Garousi, N Joy, Z Jafarov, AB Kele?, S De?irmenci, E Özdemir, R Zarringhalami",2024,https://arxiv.org/abs/2409.00411,arix,Included - Final Corpus,Selected: discuss all RQs,
